alias,mature,safe,range
vox_plr_0_activate_bomb_0,"Whoa! I don't know what just went down, but I almost~feel... younger.","Whoa! I don't know what just went down, but I almost~feel... younger.",1250
vox_plr_0_activate_bomb_1,Something's not right here. I feel like we're doing stuff~over again.,Something's not right here. I feel like we're doing stuff~over again.,1250
vox_plr_0_activate_bomb_2,Did we just get zapped like we do with the teleporters?,Did we just get zapped like we do with the teleporters?,1250
vox_plr_0_ammo_drop_0,Even a little extra ammo is better than nothing.,Even a little extra ammo is better than nothing.,1250
vox_plr_0_ammo_drop_1,"They say good things come in small packages. Well, that~one was really small.","They say good things come in small packages. Well, that~one was really small.",1250
vox_plr_0_ammo_drop_2,Even a little bit of ammo can go a long way. If you use it~right.,Even a little bit of ammo can go a long way. If you use it~right.,1250
vox_plr_0_ammo_low_0,How am I supposed to kick ass without bullets?,How am I supposed to kick butt without bullets?,1250
vox_plr_0_ammo_low_1,I need ammo like Stu needs a shrink.,I need ammo like Stu needs a shrink.,1250
vox_plr_0_ammo_low_2,Ain't much a man can do without ammo.,Ain't much a man can do without ammo.,1250
vox_plr_0_ammo_low_3,Why do I keep running low?,Why do I keep running low?,1250
vox_plr_0_ammo_low_4,Someone oughta snag us one of them Max Ammo things!,Someone oughta snag us one of them Max Ammo things!,1250
vox_plr_0_ammo_out_0,Out already? How much ammo I been using?,Out already? How much ammo I been using?,1250
vox_plr_0_ammo_out_1,Shit! My guns need a refill!,My guns need a refill.,1250
vox_plr_0_ammo_out_2,Looks like I'm all out.,Looks like I'm all out.,1250
vox_plr_0_ammo_out_3,I ain't got so much as a single bullet.,I ain't got so much as a single bullet.,1250
vox_plr_0_ammo_out_4,Fun's over. Least until I find more bullets.,Fun's over. Least until I find more bullets.,1250
vox_plr_0_ammo_out_5,"I need some ammo, dammit!",I need some ammo now!,1250
vox_plr_0_ammo_switch_0,Maybe I ought to try my other gun.,Maybe I ought to try my other gun.,1250
vox_plr_0_ammo_switch_1,No joy here. I should probably switch weapons.,No joy here. I should probably switch weapons.,1250
vox_plr_0_ammo_switch_2,Now would be a good time to use my other gun.,Now would be a good time to use my other gun.,1250
vox_plr_0_ammo_switch_3,I sure hope my other weapon's locked and loaded.,I sure hope my other weapon's locked and loaded.,1250
