alias,mature,safe,range
vox_plr_0_ammo_low_0,Weapon's getting a little light.,Weapon's getting a little light.,1250
vox_plr_0_ammo_low_1,"Oh, I need some lead for my pencil.","Oh, I need some lead for my pencil.",1250
vox_plr_0_ammo_low_2,"Anyone sees ammo, it's mine.","Anyone sees ammo, it's mine.",1250
vox_plr_0_ammo_low_3,This old man can still go bare knuckle if he has to.,This old man can still go bare knuckle if he has to.,1250
vox_plr_0_ammo_low_4,Under five bullets. I guess I could cap us all.,Under five bullets. I guess I could cap us all.,1250
vox_plr_0_ammo_out_0,Russman shooting blanks!,Russman shooting blanks!,1250
vox_plr_0_ammo_out_1,"Kick an old man when he's down, why don't you?","Kick an old man when he's down, why don't you?",1250
vox_plr_0_ammo_out_2,No ammo. Figures.,No ammo. Figures.,1250
vox_plr_0_ammo_out_3,Ain't this a poking eye?,Ain't this a poking eye?,1250
vox_plr_0_ammo_out_4,Bad day's getting worse.,Bad day's getting worse.,1250
vox_plr_0_ammo_out_5,"Watch your backs, fellas. I'm all out.","Watch your backs, fellas. I'm all out.",1250
vox_plr_0_anim_intro11_0,"Pay attention, moron!","Pay attention, moron!",1250
vox_plr_0_anim_intro12_0,"If you're gonna talk to your imaginary friends, Stu...","If you're gonna talk to your imaginary friends, Stu...",1250
vox_plr_0_anim_intro13_0,You might want to wait till you're in a Z-free zone.,You might want to wait till you're in a Z-free zone.,1250
vox_plr_0_anim_intro15_0,AHHHH!,AHHHH!,1250
vox_plr_0_box_move_0,"You making a muckery of me, box?","You making a muckery of me, box?",1250
vox_plr_0_box_move_1,I'm an expert tracker. I will find you.,I'm an expert tracker. I will find you.,1250
vox_plr_0_box_move_2,"Trying to short me on our deal, huh?","Trying to short me on our deal, huh?",1250
vox_plr_0_box_move_3,You should have moved on Marlton's turn.,You should have moved on Marlton's turn.,1250
vox_plr_0_box_move_4,Run all you want. Don't make no difference to me.,Run all you want. Don't make no difference to me.,1250
vox_plr_0_build_add_0,This'll be a darn sight easier if it came with directions.,This'll be a darn sight easier if it came with directions.,1250
vox_plr_0_build_add_1,"I think this goes here. Oh, fuck it. I just jam it in.","I think this goes here. Oh, fuck it. I just jam it in.",1250
vox_plr_0_build_add_2,Junk plus junk equals more junk.,Junk plus junk equals more junk.,1250
vox_plr_0_build_final_0,"Well, ain't that something? Hey, Brain Box, you know what~it is?","Well, ain't that something? Hey, Brain Box, you know what~it is?",1250
vox_plr_0_build_final_1,It's finished! I think I gave myself another heart attack.,It's finished! I think I gave myself another heart attack.,1250
vox_plr_0_build_final_2,That was a whole lot of hassle for not much reward.,That was a whole lot of hassle for not much reward.,1250
vox_plr_0_build_pck_jet_0,"Come to Russman, baby! Now, let's go find out what the~fuck you are.","Come to Russman, baby. Now let's go find out what you are.",1250
vox_plr_0_build_pck_sliquifier_0,I just know I'm gonna throw my back out carrying this.,I just know I'm gonna throw my back out carrying this.,1250
vox_plr_0_build_pck_wsliquifier_0,Who left us here? What? Was it me?,Who left us here? What? Was it me?,1250
vox_plr_0_build_pck_wsteam_0,Leave shit like this around and someone's bound to steal~it. Might as well be me.,Leave shit like this around and someone's bound to steal~it. Might as well be me.,1250
vox_plr_0_build_pickup_0,"This looks useful. Darn if I know what for, though.","This looks useful. Darn if I know what for, though.",1250
vox_plr_0_build_pickup_1,I think I better just hang on to this.,I think I better just hang on to this.,1250
vox_plr_0_build_pickup_2,"It's a bit of something, alright.","It's a bit of something, alright.",1250
vox_plr_0_build_plc_sliquifier_0,Anyone who touches my stuff will pay a heavy price.~Believe me.,Anyone who touches my stuff will pay a heavy price.~Believe me.,1250
vox_plr_0_build_plc_steam_1,I think I'll just put you down. Give myself a rest.,I think I'll just put you down. Give myself a rest.,1250
vox_plr_0_build_swap_0,Maybe I need this other thing more.,Maybe I need this other thing more.,1250
vox_plr_0_build_swap_1,All this crap looks the same to me anyhow.,All this crap looks the same to me anyhow.,1250
vox_plr_0_build_swap_2,I'll leave this one for later.,I'll leave this one for later.,1250
vox_plr_0_crawler_attack_0,"Don't nibble the rust, man!","Don't nibble the rust, man!",1250
vox_plr_0_crawler_attack_1,Who said you could take a bath?,Who said you could take a bath?,1250
vox_plr_0_crawler_attack_2,Wish I'd worn my shit-kicking boots.,Wish I'd worn my shit-kicking boots.,1250
vox_plr_0_crawler_attack_3,"Why, you little runt!","Why, you little runt!",1250
vox_plr_0_crawler_attack_4,These little shits are getting on my nerves.,These little shits are getting on my nerves.,1250
vox_plr_0_crawler_kill_0,"Not on my watch, buddy boy!","Not on my watch, buddy boy!",1250
vox_plr_0_crawler_kill_1,No nibbles for you!,No nibbles for you!,1250
vox_plr_0_crawler_kill_2,Stay still.,Stay still.,1250
vox_plr_0_crawler_kill_3,I put them out as misery.,I put them out as misery.,1250
vox_plr_0_crawler_kill_4,Only good crawler is a dead crawler.,Only good crawler is a dead crawler.,1250
vox_plr_0_crawler_start_0,We got crawlers!,We got crawlers!,1250
vox_plr_0_crawler_start_1,How come they're twice as annoying at half the size?,How come they're twice as annoying at half the size?,1250
vox_plr_0_crawler_start_2,Watch out for the little runs.,Watch out for the little runs.,1250
vox_plr_0_crawler_start_3,"Cotton up your boots, we got ass-draggers.","Cotton up your boots, we got ass-draggers.",1250
vox_plr_0_crawler_start_4,They survived the blast.,They survived the blast.,1250
vox_plr_0_earn_acheivement_0,I appreciate the recognition of my skills.,I appreciate the recognition of my skills.,1250
vox_plr_0_find_secret_0,What is that? Don't tell me I'm hearing things like Stu.,What is that? Don't tell me I'm hearing things like Stu.,1250
vox_plr_0_generic_who_0,Who's Who?,Who's Who?,1250
vox_plr_0_heal_revived_0,"Couldn't go on without Russman, huh?","Couldn't go on without Russman, huh?",1250
vox_plr_0_heal_revived_1,I'll return the favor. Maybe.,I'll return the favor. Maybe.,1250
vox_plr_0_heal_revived_2,"You don't talk about this, understand?","You don't talk about this, understand?",1250
vox_plr_0_heal_revived_3,Guess none of you was watching my back.,Guess none of you was watching my back.,1250
vox_plr_0_heal_revived_4,Be thankful I'm still around.,Be thankful I'm still around.,1250
vox_plr_0_hr_resp_crawler_start_0,They're kind of funny when they're stumpified.,They're kind of funny when they're stumpified.,1250
vox_plr_0_hr_resp_crawler_start_1,"He's down, but he ain't out.","He's down, but he ain't out.",1250
vox_plr_0_hr_resp_crawler_start_2,"Finish what you started, Stu!","Finish what you started, Stu!",1250
vox_plr_0_hr_resp_crawler_start_3,Damn! These little shits are persistent. I'll give them~that.,Damn! These little shits are persistent. I'll give them~that.,1250
vox_plr_0_hr_resp_crawler_start_4,"Hit them again, as often as you have to.","Hit them again, as often as you have to.",1250
vox_plr_0_hr_resp_kill_headshot_0,"I don't care what the others say. You're kicking ass, Stu.","I don't care what the others say. You're kicking ass, Stu.",1250
vox_plr_0_hr_resp_kill_headshot_1,You popped this melon real good.,You popped this melon real good.,1250
vox_plr_0_hr_resp_kill_headshot_2,"He went down like a sack of potatoes, Stu.","He went down like a sack of potatoes, Stu.",1250
vox_plr_0_hr_resp_kill_headshot_3,That's how you do it.,That's how you do it.,1250
vox_plr_0_hr_resp_kill_headshot_4,"Couldn't have killed him better myself. Well, actually, I~could have, but nice shot.","Couldn't have killed him better myself. Well, actually, I~could have, but nice shot.",1250
vox_plr_0_hr_resp_surrounded_0,"You got a man up now, Stu.","You got a man up now, Stu.",1250
vox_plr_0_hr_resp_surrounded_1,"You can do it, Stu. Just remember everything I taught you.","You can do it, Stu. Just remember everything I taught you.",1250
vox_plr_0_hr_resp_surrounded_2,"Put your war face on! You do have one, don't you?","Put your war face on! You do have one, don't you?",1250
vox_plr_0_hr_resp_surrounded_3,"Stay calm, Stu. Black out the voices in your head.","Stay calm, Stu. Black out the voices in your head.",1250
vox_plr_0_hr_resp_wpck_monkey_0,"Hey, hey, hey! You two will make a good team!","Hey, hey, hey! You two will make a good team!",1250
vox_plr_0_hr_resp_wpck_monkey_1,That there's an explosive monkey. Guard him with your~life.,That there's an explosive monkey. Guard him with your~life.,1250
vox_plr_0_hr_resp_wpck_monkey_2,"When you hit trouble, toss off a monkey.","When you hit trouble, toss off a monkey.",1250
vox_plr_0_hr_resp_wpck_monkey_3,Is that little bastard ever gonna evolve?,Is that little bastard ever gonna evolve?,1250
vox_plr_0_hr_resp_wpck_monkey_4,"Better start grinding your organ now you got a monkey,~Stu.","Better start grinding your organ now you got a monkey,~Stu.",1250
vox_plr_0_kill_close_0,You need to learn some manners.,You need to learn some manners.,1250
vox_plr_0_kill_close_1,You crossed the line!,You crossed the line!,1250
vox_plr_0_kill_close_2,"Hi, I'm Russman. Bye.","Hi, I'm Russman. Bye.",1250
vox_plr_0_kill_close_3,You brought it on yourself.,You brought it on yourself.,1250
vox_plr_0_kill_close_4,Done and done!,Done and done!,1250
