alias,mature,safe,range
vox_plr_0_1st_staff_found_0,"Sounds like we got ourselves a plan. Hang in there, little~girl.","Sounds like we got ourselves a plan. Hang in there, little~girl.",1600
vox_plr_0_4th_staff_crafted_0,"Okay, little girl, we made the staffs. Where's this~Agartha Gateway thing you were talking so much about?","Okay, little girl, we made the staffs. Where's this~Agartha Gateway thing you were talking so much about?",1600
vox_plr_0_4th_staff_crafted_1,"Well, guess we're on our own from here on out.","Well, guess we're on our own from here on out.",1600
vox_plr_0_activate_generic_0,"Well, let's fire this up.","Well, let's fire this up.",1600
vox_plr_0_activate_generic_1,We need to get this operational.,We need to get this operational.,1600
vox_plr_0_activate_generic_2,We'll see if this works.,We'll see if this works.,1600
vox_plr_0_air_chute_landing_0,"Ugh, at least I'm still in one piece.","Ugh, at least I'm still in one piece.",1600
vox_plr_0_ammo_low_0,I'm almost out!,I'm almost out!,1600
vox_plr_0_ammo_low_1,Running real low on ammo here.,Running real low on ammo here.,1600
vox_plr_0_ammo_low_2,I'm down to my last few rounds.,I'm down to my last few rounds.,1600
vox_plr_0_ammo_low_3,Haven't got many shells left!,Haven't got many shells left!,1600
vox_plr_0_ammo_low_4,I need ammo here!,I need ammo here!,1600
vox_plr_0_ammo_out_0,I'm all out.,I'm all out.,1600
vox_plr_0_ammo_out_1,Haven't got a single slug!,Haven't got a single slug!,1600
vox_plr_0_ammo_out_2,I can't do shit without ammo!,Can't do much without ammo!,1600
vox_plr_0_ammo_out_3,"Ah, fuck, gun's empty!",Nuts! Guns empty!,1600
vox_plr_0_ammo_out_4,No ammo! That's all I need!,No ammo! That's all I need!,1600
vox_plr_0_box_move_0,"Hey, where are you running off to?","Hey, where are you running off to?",1600
vox_plr_0_box_move_1,Now you leave? Couldn't you have waited till the German~took his turn?,Now you leave? Couldn't you have waited till the German~took his turn?,1600
vox_plr_0_box_move_2,You gotta be fucking shitting me!,"Oh, you gotta be kidding me!",1600
vox_plr_0_box_move_3,Looks like I need to hunt you down all over again.,Looks like I need to hunt you down all over again.,1600
vox_plr_0_box_move_4,Wait till I report all this. Command's gonna think I'm~suffering from shell shock or something.,Wait till I report all this. Command's gonna think I'm~suffering from shell shock or something.,1600
vox_plr_0_build_dd_final_0,Is this thing really gonna fly?,Is this thing really gonna fly?,1600
vox_plr_0_build_dd_final_1,Wonder how many other things like this the Germans have~got hidden up their sleeves.,Wonder how many other things like this the Germans have~got hidden up their sleeves.,1600
vox_plr_0_build_dd_final_2,I think that should do it.,I think that should do it.,1600
vox_plr_0_build_dd_pickup_0,So the German thinks this is part of some kind of flying~machine?,So the German thinks this is part of some kind of flying~machine?,1600
vox_plr_0_build_dd_pickup_1,Maybe it is part of some other crazy weapon.,Maybe it is part of some other crazy weapon.,1600
vox_plr_0_build_dd_pickup_2,"I better take it, just in case the Germans tell him the~truth.","I better take it, just in case the Germans tell him the~truth.",1600
vox_plr_0_build_dd_take_0,"Ha, we'll all be damned. The German was telling the truth.","Well, I'll be. The German was telling the truth.",1600
vox_plr_0_build_zs_final_0,Looks like this is just about done.,Looks like this is just about done.,1600
vox_plr_0_build_zs_final_1,"Once I add this part, we'll have ourselves something~useful.","Once I add this part, we'll have ourselves something~useful.",1600
vox_plr_0_build_zs_pickup_0,I might be able to find a good use for this.,I might be able to find a good use for this.,1600
vox_plr_0_build_zs_pickup_1,I'm gonna have to find somewhere to put these pieces~together.,I'm gonna have to find somewhere to put these pieces~together.,1600
vox_plr_0_build_zs_pickup_2,I think this'll come in handy.,I think this'll come in handy.,1600
vox_plr_0_build_zs_take_2,"Okay, this shield will help keep those freaks off my back.","Okay, this shield will help keep those freaks off my back.",1600
vox_plr_0_buy_tank_0,Let's get this thing moving!,Let's get this thing moving!,1600
vox_plr_0_capture_zombies_0,These bastards are appearing out of thin air!,These freaks are appearing out of thin air!,1600
vox_plr_0_capture_zombies_1,Watch your backs! They're all over us!,Watch your backs! They're all over us!,1600
vox_plr_0_capture_zombies_2,Watch the light! Watch the light!,Watch the light! Watch the light!,1600
vox_plr_0_capture_zones_0,"Richtofen, it's another of your crazy machines?","Richtofen, it's another of your crazy machines?",1600
vox_plr_0_confusion_generic_0,I don't understand.,I don't understand.,1600
vox_plr_0_confusion_generic_1,This doesn't make sense.,This doesn't make sense.,1600
vox_plr_0_confusion_generic_2,We need to figure this out!,We need to figure this out!,1600
vox_plr_0_cool_tank_0,Tank ain't moving anytime soon.,Tank ain't moving anytime soon.,1600
vox_plr_0_cool_tank_1,Looks like we gotta let it cool down.,Looks like we gotta let it cool down.,1600
vox_plr_0_cool_tank_2,Engine's overheated. We gotta wait it out.,Engine's overheated. We gotta wait it out.,1600
vox_plr_0_crawler_attack_0,Still got some fight in you!,Still got some fight in you!,1600
vox_plr_0_crawler_attack_1,"Losing your legs didn't kill your appetite, huh?","Losing your legs didn't kill your appetite, huh?",1600
vox_plr_0_crawler_attack_2,Can't you just crawl away and die?,Can't you just crawl away and die?,1600
vox_plr_0_crawler_attack_3,You still hungry?,You still hungry?,1600
vox_plr_0_crawler_kill_0,I got tired of your squealing.,I got tired of your squealing.,1600
vox_plr_0_crawler_kill_1,Had to put that thing out of its misery.,Had to put that thing out of its misery.,1600
vox_plr_0_crawler_kill_2,"Say goodnight, you rotten little puss bucket.","Say goodnight, you rotten little puss bucket.",1600
vox_plr_0_crawler_kill_3,I almost forgot about you!,I almost forgot about you!,1600
vox_plr_0_crawler_start_0,How is that little runt still alive?,How is that little runt still alive?,1600
vox_plr_0_crawler_start_1,"These freaks don't know how to take a hint, do they?","These freaks don't know how to take a hint, do they?",1600
vox_plr_0_crawler_start_2,Shouldn't you be dead by now?,Shouldn't you be dead by now?,1600
