alias,mature,safe,range
vox_plr_0_ammo_low_0,Russman doesn't like to run out of bullets!,Russman doesn't like to run out of bullets!,1250
vox_plr_0_ammo_low_1,"Uh, getting low on thunderplugs.","Uh, getting low on thunderplugs.",1250
vox_plr_0_ammo_low_2,Need me a new lead spitter.,Need me a new lead spitter.,1250
vox_plr_0_ammo_low_3,The wells run dry!,The wells run dry!,1250
vox_plr_0_ammo_low_4,"Stu, lend me some bullets, I'm running low.","Stu, lend me some bullets, I'm running low.",1250
vox_plr_0_ammo_out_0,"Well, old man, you done screwed the pooch now.","Well, old man, you done screwed the pooch now.",1250
vox_plr_0_ammo_out_1,It's old timers! I keep forgetting to count my bullets!,It's old timers! I keep forgetting to count my bullets!,1250
vox_plr_0_ammo_out_2,"Oh, mercy, mercy, Mr. Russman. You are fresh out of kill~tax.","Oh, mercy, mercy, Mr. Russman. You are fresh out of kill~tax.",1250
vox_plr_0_ammo_out_3,No bullets and ain't shit in a week. Getting old sucks.,No bullets and ain't shit in a week. Getting old sucks.,1250
vox_plr_0_ammo_out_4,"Who's in charge of giving me bullets? Oh, it's me? Uh,~never mind.","Who's in charge of giving me bullets? Oh, it's me? Uh,~never mind.",1250
vox_plr_0_ammo_out_5,"Stewie, you got some bullets for the old man? I'm plumb~out.","Stewie, you got some bullets for the old man? I'm plumb~out.",1250
vox_plr_0_avogadro_above_0,Somebody call down the thunder.,Somebody call down the thunder.,1250
vox_plr_0_avogadro_above_1,I got a bad feeling about that storm.,I got a bad feeling about that storm.,1250
vox_plr_0_avogadro_arrive_0,"Boogers, that thing ain't right.","Boogers, that thing ain't right.",1250
vox_plr_0_avogadro_arrive_1,"Let's dance, you insecure, born out-of-towner!","Let's dance, you insecure, born out-of-towner!",1250
vox_plr_0_avogadro_arrive_2,Run! It's the old devil himself!,Run! It's the old devil himself!,1250
vox_plr_0_avogadro_atkbus_0,Stop that crackle-pop thingamajig before it messes up the~bus!,Stop that crackle-pop thingamajig before it messes up the~bus!,1250
vox_plr_0_avogadro_atkbus_1,This old heap of junk can't take much more of this zippy~zappy.,This old heap of junk can't take much more of this zippy~zappy.,1250
vox_plr_0_avogadro_atkbus_2,The thing-a-jig is messing up the bus! Kill it!,The thing-a-jig is messing up the bus! Kill it!,1250
vox_plr_0_avogadro_attack_0,My heart can't take this kind of abuse!,My heart can't take this kind of abuse!,1250
vox_plr_0_avogadro_attack_1,"Oh Lord, I'm being fried alive!","Oh Lord, I'm being fried alive!",1250
vox_plr_0_avogadro_attack_2,I'm getting z-z-z-zapped like a b-b-bug!,I'm getting z-z-z-zapped like a b-b-bug!,1250
vox_plr_0_avogadro_flee_0,"Yeah, you better take to the sky, Zippy Zappy!","Yeah, you better take to the sky, Zippy Zappy!",1250
vox_plr_0_avogadro_flee_1,"Ain't so easy to kill a Russman, is it?","Ain't so easy to kill a Russman, is it?",1250
vox_plr_0_avogadro_flee_2,Scared of this old man? I would be too. I am bad!,Scared of this old man? I would be too. I am bad!,1250
vox_plr_0_avogadro_onbus_0,Electric Thing-a-Jiggy's on the bus! Snuff it!,Electric Thing-a-Jiggy's on the bus! Snuff it!,1250
vox_plr_0_avogadro_onbus_1,Get that lightning bug off the bus!,Get that lightning bug off the bus!,1250
vox_plr_0_avogadro_onbus_2,Kill that Zippy Zappy! Kill it!,Kill that Zippy Zappy! Kill it!,1250
vox_plr_0_avogadro_reveal_0,What's that weird looking Gnomey thing?,What's that weird looking Gnomey thing?,1250
vox_plr_0_avogadro_reveal_1,What the fuck is that thing?,What the fuck is that thing?,1250
vox_plr_0_avogadro_reveal_2,"Oh, I think these old brains are going soft, cause I'm~seeing things that just can't be real.","Oh, I think these old brains are going soft, cause I'm~seeing things that just can't be real.",1250
vox_plr_0_avogadro_stopbus_0,Zippy zappy messed up our ride.,Zippy zappy messed up our ride.,1250
vox_plr_0_avogadro_stopbus_1,"We're on foot now, cause you dummies couldn't kill one~lightning bug.","We're on foot now, cause you dummies couldn't kill one~lightning bug.",1250
vox_plr_0_avogadro_stopbus_2,"Next time Russman says to kill the electric thingamajig,~you listen.","Next time Russman says to kill the electric thingamajig,~you listen.",1250
